,precision,recall,f1-score,support
0,0.9013921113689095,0.7507246376811594,0.8191881918819188,1035.0
1,0.5283363802559415,0.7727272727272727,0.6275787187839305,374.0
accuracy,0.7565649396735273,0.7565649396735273,0.7565649396735273,0.7565649396735273
macro avg,0.7148642458124255,0.761725955204216,0.7233834553329246,1409.0
weighted avg,0.802369511343182,0.7565649396735273,0.7683280478516509,1409.0
