,precision,recall,f1-score,support
0,0.8891595615103532,0.7053140096618358,0.7866379310344828,1035.0
1,0.4812925170068027,0.7566844919786097,0.5883575883575883,374.0
accuracy,0.7189496096522356,0.7189496096522356,0.7189496096522356,0.7189496096522356
macro avg,0.685226039258578,0.7309992508202228,0.6874977596960355,1409.0
weighted avg,0.7808967690019587,0.7189496096522356,0.7340070948661658,1409.0
