,precision,recall,f1-score,support
0,0.8742985409652076,0.7526570048309179,0.8089304257528557,1035.0
1,0.5057915057915058,0.7005347593582888,0.5874439461883408,374.0
accuracy,0.7388218594748048,0.7388218594748048,0.7388218594748048,0.7388218594748048
macro avg,0.6900450233783567,0.7265958820946034,0.6981871859705983,1409.0
weighted avg,0.7764833307771563,0.7388218594748048,0.7501398342999611,1409.0
