,precision,recall,f1-score,support
0,0.9048192771084337,0.7256038647342995,0.8053619302949062,1035.0
1,0.5094991364421416,0.7887700534759359,0.6190975865687304,374.0
accuracy,0.7423704755145494,0.7423704755145494,0.7423704755145494,0.7423704755145494
macro avg,0.7071592067752877,0.7571869591051177,0.7122297584318182,1409.0
weighted avg,0.79988689058665,0.7423704755145494,0.7559205785890228,1409.0
