,precision,recall,f1-score,support
0,0.8881278538812786,0.7516908212560387,0.8142333856619571,1035.0
1,0.5178236397748592,0.7379679144385026,0.6085997794928335,374.0
accuracy,0.7480482611781405,0.7480482611781405,0.7480482611781405,0.7480482611781405
macro avg,0.7029757468280688,0.7448293678472706,0.7114165825773953,1409.0
weighted avg,0.7898356068438045,0.7480482611781405,0.7596507251174204,1409.0
