,precision,recall,f1-score,support
0,0.8976857490864799,0.7120772946859903,0.7941810344827587,1035.0
1,0.4931972789115646,0.7754010695187166,0.6029106029106029,374.0
accuracy,0.7288857345635202,0.7288857345635202,0.7288857345635202,0.7288857345635202
macro avg,0.6954415139990222,0.7437391821023535,0.6985458186966809,1409.0
weighted avg,0.7903197534545293,0.7288857345635202,0.7434108844416045,1409.0
