,precision,recall,f1-score,support
0,0.8703703703703703,0.8173913043478261,0.8430493273542601,1035.0
1,0.5675057208237986,0.6631016042780749,0.6115906288532675,374.0
accuracy,0.7764371894960965,0.7764371894960965,0.7764371894960965,0.7764371894960965
macro avg,0.7189380455970844,0.7402464543129506,0.7273199781037638,1409.0
weighted avg,0.7899790439470787,0.7764371894960965,0.7816117452113424,1409.0
