,precision,recall,f1-score,support
0,0.8681318681318682,0.7632850241545893,0.8123393316195373,1035.0
1,0.5090180360721442,0.679144385026738,0.581901489117984,374.0
accuracy,0.7409510290986515,0.7409510290986515,0.7409510290986515,0.7409510290986515
macro avg,0.6885749521020061,0.7212147045906636,0.6971204103687607,1409.0
weighted avg,0.7728099567121828,0.7409510290986515,0.7511727218994656,1409.0
