,precision,recall,f1-score,support
0,0.8979833926453143,0.7314009661835749,0.8061767838125665,1035.0
1,0.508833922261484,0.7700534759358288,0.6127659574468085,374.0
accuracy,0.7416607523066004,0.7416607523066004,0.7416607523066004,0.7416607523066004
macro avg,0.7034086574533992,0.7507272210597018,0.7094713706296876,1409.0
weighted avg,0.7946889271211465,0.7416607523066004,0.7548384949120744,1409.0
